date,price,volume,market_cap
2023-09-25 00:00:00,1.54926538301798,10619495.684570588,576006610.2508837
2023-09-26 00:00:00,1.4839677207790718,18683084.063498873,552269593.6133701
2023-09-27 00:00:00,1.4871405077113966,14677079.6293351,553033979.4007347
2023-09-28 00:00:00,1.4823335683462546,13415218.947359625,551636478.5522466
2023-09-29 00:00:00,1.5213028555443873,15001500.700648952,566825897.5794144
2023-09-30 00:00:00,1.5382121596928375,10860500.028342277,572247785.0057236
2023-10-01 00:00:00,1.5346666889844227,9329281.208665896,570775667.3078561
2023-10-02 00:00:00,1.6953597242162168,26981961.42930864,630323442.9005607
2023-10-03 00:00:00,1.6971492182257357,46197750.00982087,631731995.1206961
2023-10-04 00:00:00,1.6655832437812588,30949592.539353475,620898587.0503538
2023-10-05 00:00:00,1.7294106760773205,25665621.398149606,643825976.6223137
2023-10-06 00:00:00,1.729045375192832,29369566.83025423,642188286.9788686
2023-10-07 00:00:00,1.8269582294115396,34173412.9832302,679250462.998226
2023-10-08 00:00:00,1.8340619918142982,36069765.6072396,682045195.067988
2023-10-09 00:00:00,1.8347908409626121,24697185.070844527,682086469.0472962
2023-10-10 00:00:00,1.764613920505615,38830083.45409967,656685661.1300157
2023-10-11 00:00:00,1.798583864349574,31020247.53417942,669839325.3814019
2023-10-12 00:00:00,1.7932513281215268,41248945.9529143,667213441.8508664
2023-10-13 00:00:00,1.7183448022852696,33007983.566335954,639575667.3227869
2023-10-14 00:00:00,1.74798875607549,26326611.80089361,650468106.5930681
2023-10-15 00:00:00,1.738021862598511,15023846.201722074,647462636.1602426
2023-10-16 00:00:00,1.7300519032197843,15732837.693983288,643407997.9877702
2023-10-17 00:00:00,1.8392804532723417,69784909.30166195,683851907.8002921
2023-10-18 00:00:00,1.8702187938167885,40024674.7777896,697159661.5376042
2023-10-19 00:00:00,1.935657871883832,35790141.78968319,721192106.8597769
2023-10-20 00:00:00,1.9273713465206632,35311320.46757938,717595502.3048056
2023-10-21 00:00:00,1.9636452121576964,30063176.86378458,732028923.4625611
2023-10-22 00:00:00,1.9777913458384027,33410222.634155795,736079624.8481334
2023-10-23 00:00:00,1.959799595680761,30208434.68223576,723131152.0207114
2023-10-24 00:00:00,2.0912476524524446,57740563.56361121,780941039.6214181
2023-10-25 00:00:00,2.038371680250539,62175967.10952602,758948467.779526
2023-10-26 00:00:00,2.0746519349591046,51803807.62542307,772590835.5445632
2023-10-27 00:00:00,2.1565254571236907,58716117.43029369,805537874.8698156
2023-10-28 00:00:00,2.26468505207946,65446447.74746471,843048628.9511474
2023-10-29 00:00:00,2.3986775452873412,84556205.52545252,892658117.0504682
2023-10-30 00:00:00,2.551106623806669,94085352.27735773,949522298.5181569
2023-10-31 00:00:00,2.4819113926894785,93780747.19677062,923614402.3683051
2023-11-01 00:00:00,2.3678531997145917,100323678.60154964,879671102.5069821
2023-11-02 00:00:00,2.407606556421013,92107053.56203654,897675950.891432
2023-11-03 00:00:00,2.2372905392475704,79922301.31108597,833759711.9059286
2023-11-04 00:00:00,2.279274424070956,64347646.80380003,849648186.6452643
2023-11-05 00:00:00,2.333338912682136,42300279.72571558,869361269.4886725
2023-11-06 00:00:00,2.3728221265515406,54770486.85841353,883976466.472874
2023-11-07 00:00:00,2.464268812034787,76690376.48299557,914902504.0631726
2023-11-08 00:00:00,2.3407586738107855,63429710.301401,871051648.1209971
2023-11-09 00:00:00,2.336211274237448,49542765.5579571,870337542.3766974
2023-11-10 00:00:00,2.286113240666358,121761804.23868395,850062685.604473
2023-11-11 00:00:00,2.4114510371434488,71294725.98542427,896520659.493841
2023-11-12 00:00:00,2.488454172669877,119431006.06906706,925119511.7272631
2023-11-13 00:00:00,2.405477478263045,76776002.6856778,894777395.4260359
2023-11-14 00:00:00,2.315860218744062,94684212.6486417,860485364.2152636
2023-11-15 00:00:00,2.251593081053739,80439949.64423724,839022165.18539
2023-11-16 00:00:00,2.8364404981569145,260875181.77234814,1053550247.5750873
2023-11-17 00:00:00,3.0205933513853913,266208615.41470835,1130157523.9744914
2023-11-18 00:00:00,3.0408649848505465,183536756.10255042,1140519257.6700506
2023-11-19 00:00:00,3.3869213603952035,257419692.24399877,1267588411.0753837
2023-11-20 00:00:00,3.376295904095407,170403196.45536533,1265826275.5187554
2023-11-21 00:00:00,3.3990214699261267,184105009.51843607,1268653887.9309359
2023-11-22 00:00:00,3.085925787410547,196940452.23841652,1154486691.9425073
2023-11-23 00:00:00,3.3528347985460187,146408059.0827836,1255386994.5964909
2023-11-24 00:00:00,3.205987617407536,74909810.87298185,1199041700.8840497
2023-11-25 00:00:00,3.3896854484921604,116484084.83104984,1267304320.520592
2023-11-26 00:00:00,3.459545619529365,71646193.2989211,1293916257.7810752
2023-11-27 00:00:00,3.316343608671042,69033790.88147643,1240699212.3744268
2023-11-28 00:00:00,3.17430440949666,78077150.40620647,1186175978.6197643
2023-11-29 00:00:00,3.30384387785564,96600425.06300655,1236817932.5726979
2023-11-30 00:00:00,3.235496171452753,77088392.77708456,1211769810.9961772
2023-12-01 00:00:00,3.4269482439058385,106603410.40044309,1287048036.1999416
2023-12-02 00:00:00,3.5462316590096106,79722889.04943547,1324982328.5155067
2023-12-03 00:00:00,3.638540450879748,72479417.47432563,1358818709.8083856
2023-12-04 00:00:00,3.864910086321301,118811272.92860608,1448021884.3952289
2023-12-05 00:00:00,3.7305515442951016,208431784.847768,1397500539.6601634
2023-12-06 00:00:00,3.682542804521469,114930365.94501597,1375598632.9625676
