date,price,volume
2023-09-16,1.6051340065508684,20811649.766210962
2023-09-17,1.617373593634879,17129403.285375044
2023-09-18,1.558292617324408,16308218.182675388
2023-09-19,1.5695614739856416,28914991.1685767
2023-09-20,1.6056763436997132,20929182.957767233
2023-09-21,1.6214929816813548,17447647.895354703
2023-09-22,1.6010877324101325,22934778.51671962
2023-09-23,1.6031886136555098,28167588.977906864
2023-09-24,1.5700383236873563,12668182.82428114
2023-09-25,1.54926538301798,10619495.684570588
2023-09-26,1.4839677207790718,18683084.063498873
2023-09-27,1.4871405077113966,14677079.6293351
2023-09-28,1.4823335683462546,13415218.947359625
2023-09-29,1.5213028555443873,15001500.700648952
2023-09-30,1.5382121596928375,10860500.028342277
2023-10-01,1.5346666889844227,9329281.208665896
2023-10-02,1.6953597242162168,26981961.42930864
2023-10-03,1.6971492182257357,46197750.00982087
2023-10-04,1.6655832437812588,30949592.539353475
2023-10-05,1.7294106760773205,25665621.398149606
2023-10-06,1.729045375192832,29369566.83025423
2023-10-07,1.8269582294115396,34173412.9832302
2023-10-08,1.8340619918142982,36069765.6072396
2023-10-09,1.8347908409626121,24697185.070844527
2023-10-10,1.764613920505615,38830083.45409967
2023-10-11,1.798583864349574,31020247.53417942
2023-10-12,1.7932513281215268,41248945.9529143
2023-10-13,1.7183448022852696,33007983.566335954
2023-10-14,1.74798875607549,26326611.80089361
2023-10-15,1.738021862598511,15023846.201722074
2023-10-16,1.7300519032197843,15732837.693983288
2023-10-17,1.8392804532723417,69784909.30166195
2023-10-18,1.8702187938167885,40024674.7777896
2023-10-19,1.935657871883832,35790141.78968319
2023-10-20,1.9273713465206632,35311320.46757938
2023-10-21,1.9636452121576964,30063176.86378458
2023-10-22,1.9777913458384027,33410222.634155795
2023-10-23,1.959799595680761,30208434.68223576
2023-10-24,2.0912476524524446,57740563.56361121
2023-10-25,2.038371680250539,62175967.10952602
2023-10-26,2.0746519349591046,51803807.62542307
2023-10-27,2.1565254571236907,58716117.43029369
2023-10-28,2.26468505207946,65446447.74746471
2023-10-29,2.3986775452873412,84556205.52545252
2023-10-30,2.551106623806669,94085352.27735773
2023-10-31,2.4819113926894785,93780747.19677062
2023-11-01,2.3678531997145917,100323678.60154964
2023-11-02,2.407606556421013,92107053.56203654
2023-11-03,2.2372905392475704,79922301.31108597
2023-11-04,2.279274424070956,64347646.80380003
2023-11-05,2.333338912682136,42300279.72571558
2023-11-06,2.3728221265515406,54770486.85841353
2023-11-07,2.464268812034787,76690376.48299557
2023-11-08,2.3407586738107855,63429710.301401
2023-11-09,2.336211274237448,49542765.5579571
2023-11-10,2.286113240666358,121761804.23868395
2023-11-11,2.4114510371434488,71294725.98542427
2023-11-12,2.488454172669877,119431006.06906706
2023-11-13,2.405477478263045,76776002.6856778
2023-11-14,2.315860218744062,94684212.6486417
2023-11-15,2.251593081053739,80439949.64423724
2023-11-16,2.8364404981569145,260875181.77234814
2023-11-17,3.0205933513853913,266208615.41470835
2023-11-18,3.0408649848505465,183536756.10255042
2023-11-19,3.3869213603952035,257419692.24399877
2023-11-20,3.376295904095407,170403196.45536533
2023-11-21,3.3990214699261267,184105009.51843607
2023-11-22,3.085925787410547,196940452.23841652
2023-11-23,3.3528347985460187,146408059.0827836
2023-11-24,3.205987617407536,74909810.87298185
2023-11-25,3.3896854484921604,116484084.83104984
2023-11-26,3.459545619529365,71646193.2989211
2023-11-27,3.316343608671042,69033790.88147643
2023-11-28,3.17430440949666,78077150.40620647
2023-11-29,3.30384387785564,96600425.06300655
2023-11-30,3.235496171452753,77088392.77708456
2023-12-01,3.4269482439058385,106603410.40044309
2023-12-02,3.5462316590096106,79722889.04943547
2023-12-03,3.638540450879748,72479417.47432563
2023-12-04,3.864910086321301,118811272.92860608
2023-12-05,3.7305515442951016,208431784.847768
2023-12-06,3.682542804521469,114930365.94501597
2023-12-07,3.637896011516013,151582400.16708085
2023-12-08,3.640535631508219,101783798.36185546
2023-12-09,3.8869980936050634,137928102.62595677
2023-12-10,3.7111711056963412,114603543.60991415
2023-12-11,3.7894732228027275,81152426.49217579
2023-12-12,3.9265950414594095,203170116.54265743
2023-12-13,4.181857003285077,247957715.32125172
2023-12-14,4.1338300261948815,200940765.66913497
2023-12-15,4.598755785341436,270926529.0042215
2023-12-16,4.35165096032577,153384969.95177492
2023-12-17,4.396485859392805,130399757.52113119
2023-12-18,4.200955230705034,92601546.67581218
2023-12-19,4.4163932826418515,139180312.16796798
2023-12-20,4.183861215293251,115242968.25920829
2023-12-21,4.466470225584508,130091256.02370372
2023-12-22,4.301968963009993,119163258.25807276
2023-12-23,4.473603781223505,128993528.0475205
2023-12-24,4.7906533865226875,184660074.30430642
